,Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,Class
4895,0,2,6,5.5,8,4.4,2,15,8,11,0,11,0,9,0,0,0,0,0,120,12,101,101,2,2,74,0.84166664,0.6166666999999999,6.1666665,0.1,8.416667,0.7326733,0,-1,2,-1,0.75,0,29,0,2,0,27,0,82,11,7,10,50,0,78,8,6,6,0,0,0,3,0,2,0,0.241666667,0.0,0.181818182,0.3,0.346153846,0.364864865,6,1,1,2,1,0,0.7948748109999999,0.7964904909999999,0.947442759,0.80953185,0.799026947,0.794277654,phishing
15337,50,4,10,5.25,13,2.6666667,4,29,15,0,0,0,0,0,0,0,0,0,0,124,24,93,93,2,2,82,0.75,0.66129035,3.4166667,0.19354838,3.875,0.8817204,0,-1,4,-1,0.5833333,17,7,0,-1,0,7,7,96,21,-1,5,66,40,86,13,14,14,11,0,5,2,0,2,9,0.0564516129,0.0,0.0,0.0760869565,0.0813953488,0.0853658537,18,3,-1,13,12,11,0.6761507104000001,0.8227014306999999,,0.7001747547,0.7036786031000001,0.6949858911,Defacement
12988,0,2,4,4.0,5,3.75,2,2,3,0,0,0,0,0,0,0,0,0,0,34,9,18,18,3,4,2,0.5294118,0.05882353,0.22222222,0.2647059,2.0,0.11111111,0,-1,2,-1,0.6666667,-1,3,0,0,3,0,-1,24,8,8,0,4,-1,8,5,8,8,-1,0,0,3,0,1,-1,0.0882352941,0.0,0.0,0.375,0.0,-1.0,5,1,1,1,0,-1,0.7782060518,0.929896694,0.8795880017000001,0.9166666667,1.0,-1.0,Defacement
10854,85,4,18,5.25,13,2.6666667,4,45,27,0,0,0,0,0,0,0,0,0,0,186,24,155,155,2,2,144,0.8333333,0.7741935000000001,6.0,0.12903225,6.4583335,0.92903227,0,-1,4,-1,0.5833333,31,8,0,-1,0,8,8,145,21,-1,5,115,70,148,13,14,14,11,0,8,2,0,6,16,0.0430107527,0.0,0.0,0.051948051900000014,0.0540540541,0.0555555556,25,3,-1,20,19,18,0.6293550167,0.8227014306999999,,0.6415173121,0.6410707489999999,0.6387927668,Defacement
12763,13,2,12,6.5,10,4.625,2,22,19,0,0,0,0,0,0,0,0,0,0,84,14,63,63,2,2,18,0.75,0.21428572,1.2857143,0.16666667,4.5,0.2857143,0,-1,2,-1,0.78571427,13,1,0,0,0,1,1,68,13,27,6,18,10,24,10,9,9,0,0,1,4,0,6,1,0.011904762,0.0,0.0,0.033333333,0.043478261,0.055555556,8,1,2,3,2,1,0.687688823,0.8874359140000001,0.7604643529999999,0.81312147,0.8124816029999999,0.8034218909999999,benign
18171,16,4,7,5.75,15,2.6666667,4,13,6,0,0,0,0,0,0,0,0,0,0,73,26,40,40,2,2,29,0.5479451999999999,0.39726028,1.1153846,0.35616440000000005,1.5384616000000002,0.725,0,-1,4,-1,0.61538464,8,0,0,-1,0,0,0,60,23,-1,5,28,15,33,15,8,6,8,0,2,2,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,10,3,-1,5,4,3,0.7313308445000001,0.8403604754999999,,0.7968555595,0.8016426946999999,0.7993727156,Defacement
4584,0,3,7,5.6666665,11,8.714286,3,13,15,8,0,8,0,0,5,0,5,0,0,94,19,68,68,2,2,2,0.7234041999999999,0.021276595,0.10526316,0.20212767,3.5789473,0.029411765,0,-1,2,-1,0.36842105,-1,21,0,0,0,21,-1,60,16,26,3,11,-1,32,6,10,10,-1,0,0,6,1,1,-1,0.223404255,0.0,0.0,0.65625,,-1.0,8,2,4,0,0,-1,0.7006812920000001,0.792407902,0.690940133,0.745281953,0.0,-1.0,phishing
5325,90,4,19,4.5,10,2.6666667,4,46,29,1,0,1,0,1,0,0,0,0,0,161,21,133,133,2,2,122,0.82608694,0.757764,5.8095236,0.13043478,6.3333335,0.91729325,0,-1,4,-1,0.52380955,60,8,0,-1,0,8,8,123,18,-1,5,96,70,126,10,8,8,11,0,5,2,0,11,9,0.049689441,0.0,0.0,0.0606060606,0.0634920635,0.0655737705,18,3,-1,13,12,11,0.6457826696,0.7803018689,,0.6564630514,0.6562931493999999,0.6482636974,Defacement
9339,0,2,7,7.0,11,3.571428500000001,2,8,5,0,0,0,0,0,0,0,0,0,0,54,15,32,32,2,2,2,0.5925925999999999,0.037037037,0.13333334,0.2777778,2.1333334,0.0625,0,-1,1,-1,0.8,-1,0,0,-1,0,0,-1,43,14,-1,5,20,-1,24,11,5,5,-1,0,0,3,0,4,-1,0.0,0.0,0.0,0.0,,-1.0,4,1,1,0,0,-1,0.713629185,0.89761679,0.898226518,0.781895708,0.0,-1.0,benign
11620,0,2,4,6.0,9,4.25,2,2,1,1,0,1,1,0,0,0,0,0,0,40,13,20,20,9,4,2,0.5,0.05,0.15384616,0.325,1.5384616000000002,0.1,0,-1,2,-1,0.7692308000000001,-1,2,0,0,2,0,-1,31,12,4,7,4,-1,9,9,4,4,-1,0,0,3,0,1,-1,0.05,0.0,0.0,0.14285714300000002,0.0,-1.0,5,1,1,1,0,-1,0.7915956059999999,0.916849799,0.871049064,0.962478638,1.0,-1.0,phishing
